"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2014","955.00","955.00","955.00","955.00","-","4.03%"
"Jul 21, 2014","918.00","918.00","918.00","918.00","-","1.32%"
"Jul 18, 2014","906.00","906.00","906.00","906.00","-","1.12%"
"Jul 17, 2014","896.00","896.00","896.00","896.00","-","1.36%"
"Jul 16, 2014","884.00","884.00","884.00","884.00","-","7.80%"
"Jul 15, 2014","820.00","820.00","820.00","820.00","-","3.02%"
"Jul 14, 2014","796.00","796.00","796.00","796.00","-","1.27%"
"Jul 11, 2014","786.00","786.00","786.00","786.00","-","1.55%"
"Jul 10, 2014","774.00","774.00","774.00","774.00","-","2.93%"
"Jul 09, 2014","752.00","752.00","752.00","752.00","-","1.76%"
"Jul 08, 2014","739.00","739.00","739.00","739.00","-","0.41%"
"Jul 07, 2014","736.00","736.00","736.00","736.00","-","-0.67%"
"Jul 04, 2014","741.00","741.00","741.00","741.00","-","-1.20%"
"Jul 03, 2014","750.00","750.00","750.00","750.00","-","0.40%"
"Jul 02, 2014","747.00","747.00","747.00","747.00","-","2.61%"
"Jul 01, 2014","728.00","728.00","728.00","728.00","-","0.55%"
"Jun 30, 2014","724.00","724.00","724.00","724.00","-","0.42%"
"Jun 27, 2014","721.00","721.00","721.00","721.00","-","-0.28%"
"Jun 26, 2014","723.00","723.00","723.00","723.00","-","0.84%"
"Jun 25, 2014","717.00","717.00","717.00","717.00","-","0.00%"
"Jun 24, 2014","717.00","717.00","717.00","717.00","-","0.00%"
"Jun 23, 2014","717.00","717.00","717.00","717.00","-","0.28%"
"Jun 20, 2014","715.00","715.00","715.00","715.00","-","0.42%"
"Jun 19, 2014","712.00","712.00","712.00","712.00","-","5.95%"
"Jun 18, 2014","672.00","672.00","672.00","672.00","-","3.38%"
"Jun 17, 2014","650.00","650.00","650.00","650.00","-","1.40%"
"Jun 16, 2014","641.00","641.00","641.00","641.00","-","0.00%"
"Jun 13, 2014","641.00","641.00","641.00","641.00","-","0.94%"
